Events
100
Subject,Context,Name,Time (s),Description
s2702tdvg,Left,Foot Strike,5.32,The instant the heel strikes the ground
s2702tdvg,Left,Foot Off,6.51,The instant the toe leaves the ground
s2702tdvg,Right,Foot Strike,4.66,The instant the heel strikes the ground
s2702tdvg,Right,Foot Off,5.63,The instant the toe leaves the ground

Devices
1000
,,FP1 (3979) - Force,,,FP1 (3979) - Moment,,,FP1 (3979) - CoP,,,FP2 (3085) - Force,,,FP2 (3085) - Moment,,,FP2 (3085) - CoP,,,Imported Analog EMG - Voltage,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,S1x,S1y,S1z,S2x,S2y,S2z,xpc sync
,,N,N,N,mm.N,mm.N,mm.N,mm,mm,mm,N,N,N,mm.N,mm.N,mm.N,mm,mm,mm,V,V,V,V,V,V,V
36,7,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00194336,0.0861759,0.0169397,4.32172
36,8,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00346924,0.0864811,0.0129724,4.32248
36,9,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00224853,0.0843448,0.0154138,4.32492
37,0,0,0,0,0,0,0,0,-0,0,-0.61163,5.56205,11.922,-1750.48,845.665,-1278.79,-70.9332,-146.828,0,-10.0173,-10.012,-10.0058,0.00285889,0.0855655,0.0236536,4.32233
37,1,0,0,0,0,0,0,0,-0,0,0.395182,7.00288,7.34304,-1965.55,755.34,-1241.43,-102.865,-267.676,0,-10.0173,-10.012,-10.0058,0.00255371,0.0852604,0.00229125,4.32095
37,2,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00163818,0.0840397,0.0108362,4.32385
37,3,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00163818,0.08465,0.0196863,4.3237
37,4,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00163818,0.0843448,0.0166345,4.32218
37,5,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00316406,0.0852604,0.0166345,4.32218
37,6,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00194336,0.0858707,0.0163293,4.32187
37,7,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00377441,0.0886173,0.0144983,4.32218
37,8,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00163818,0.103266,0.0135828,4.32294
37,9,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00133301,0.0715275,0.0196863,4.32401
38,0,0,0,0,0,0,0,0,-0,0,1.09331,8.20443,5.90567,-1996.21,763.932,-1255.66,-129.356,-338.015,0,-10.0173,-10.012,-10.0058,0.00224853,0.0703067,0.0160242,4.3237
38,1,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00133301,0.0883121,0.0144983,4.32218
38,2,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00316406,0.0855655,0.0163293,4.32477
38,3,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00407959,0.0855655,0.0166345,4.32431
38,4,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00194336,0.0840397,0.0169397,4.32187
38,5,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00316406,0.0880069,0.0120569,4.32126
38,6,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00194336,0.0812931,0.0242639,4.32233
38,7,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,0.00255371,0.0822086,0.00961547,4.32401
38,8,0,0,0,0,0,0,0,-0,0,0.211996,7.35023,7.06815,-2132.86,782.8,-1157.04,-110.75,-301.757,0,-10.0173,-10.012,-10.0058,0.00041748,0.0895328,0.0181604,4.32355
38,9,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,-10.0173,-10.012,-10.0058,-0.00843262,0.0861759,0.0154138,4.32263
